title;url;source_name;publication_date;subtitle;text_news;image_link;video_link;authors;categories;tags;obtained_at;rating
Maiara e Maraisa não gritaram ‘fora Bolsonaro’ nem deixaram palco sob vaias;https://www.aosfatos.org/noticias/maiara-e-maraisa-nao-gritaram-fora-bolsonaro-nem-deixaram-palco-sob-vaias/;Aos Fatos;2022-09-16;;É falso que Maiara e Maraisa abandonaram um show porque foram vaiadas após gritar “fora Bolsonaro”, como afirma a legenda de um vídeo que circula nas redes (veja aqui). As cenas mostram o momento em que a dupla interrompe o espetáculo em São Pedro (SP) por causa de uma briga na plateia. As vaias e os gritos de “fora” que são ouvidos no vídeo são para as pessoas que estavam envolvidas na briga, não para as artistas, que não se manifestaram politicamente durante o show.;;;;;;;Falso
Lula, Bolsonaro, Ciro e Tebet erram ao falar de mulheres, economia e alimentos;https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-e-tebet-erram-ao-falar-de-mulheres-economia-alimentos/;Aos Fatos;2022-09-16;;A violência contra a mulher caiu drasticamente? O Brasil foi o último a instituir o voto feminino? O Ceará é o maior exportador de calçados? O país não é hoje autossuficiente em arroz? Há um mês em campanha, os principais presidenciáveis acumulam informações falsas novas e repetidas em discursos e entrevistas. Veja a seguir os deslizes de Luiz Inácio Lula da Silva (PT), Jair Bolsonaro (PL), Ciro Gomes (PDT) e Simone Tebet (MDB) na última semana.;;;;;;;Falso
Vídeo que mostra Lula se entregando à PF em 2018 é editado para inserir xingamentos;https://www.aosfatos.org/noticias/video-mostra-lula-se-entregando-a-pf-em-2018-e-editado-para-inserir-xingamentos/;Aos Fatos;2022-09-14;;Um vídeo que mostra o ex-presidente Luiz Inácio Lula da Silva (PT) antes de se entregar à Polícia Federal, em 2018, circula nas redes sociais com o áudio alterado (veja aqui). Foi inserida nas imagens uma gravação com xingamentos de “vagabundo”, mas no vídeo original são ouvidos gritos de “Lula livre” e outras saudações ao petista. As postagens também enganam ao omitir que o vídeo não é recente.;;;;;;;Falso
Anúncio de Thronicke engana ao dizer que uso de emendas do orçamento secreto é ‘fake news’;https://www.aosfatos.org/noticias/anuncio-de-thronicke-engana-ao-dizer-que-uso-de-emendas-do-orcamento-secreto-e-fake-news/;Aos Fatos;2022-09-14;;Não é verdade que o uso de emendas do chamado orçamento secreto pela senadora Soraya Thronicke, presidenciável do União Brasil, seja “fake news”, como classifica propaganda veiculada pela candidata. O montante de emendas do relator indicados pela parlamentar entre 2020 e 2021 foi noticiado em maio peloEstado de S.Paulocom base em informações enviadas pelo próprio gabinete da congressista após requisição do STF (Supremo Tribunal Federal).;;;;;;;Falso
Luís Roberto Barroso não é sogro de dono da Rede D’Or nem pai de sócio da empresa;https://www.aosfatos.org/noticias/barroso-stf-rede-dor/;Aos Fatos;2022-09-14;;Não é verdade que o presidente do Conselho de Administração da Rede D’or, Jorge Moll Filho, é genro do ministro do STF (Supremo Tribunal Federal) Luís Roberto Barroso e que o filho do ministro é sócio da rede de saúde, como afirmam publicações nas redes sociais (veja aqui). O STF e a Rede D’Or negaram que os parentes de Barroso tenham qualquer ligação com a empresa do ramo de saúde.;;;;;;;Falso
Bolsonaro mente a podcasters evangélicos sobre compra de imóveis em dinheiro vivo;https://www.aosfatos.org/noticias/bolsonaro-mente-podcasters-evangelicos-sobre-compra-imoveis-dinheiro-vivo/;Aos Fatos;2022-09-13;;O presidente e candidato à reeleição Jair Bolsonaro (PL) mentiu nesta segunda-feira (12) ao pôr em dúvida a informação revelada peloUOLde que ele e sua família compraram 51 imóveis em dinheiro vivo. Em entrevista a podcasters evangélicos, o mandatário afirmou que os termos que constam nas escrituras das propriedades não se referem a valores em espécie, um argumento que já foi desmentido por oficiais de cartório e corretores.;;;;;;;Falso
Na CNN, Lula usa desinformação para atacar governo Bolsonaro;https://www.aosfatos.org/noticias/lula-na-cnn/;Aos Fatos;2022-09-13;;Em entrevista àCNN Brasilna noite de segunda-feira (12), o ex-presidente e candidato do PT ao cargo, Luiz Inácio Lula da Silva, desinformou ao comentar a sua atual situação jurídica e ao criticar ações do governo do candidato à reeleição, Jair Bolsonaro (PL). O petista não foi absolvido na ONU (Organização das Nações Unidas), pois a instituição não julga ações penais. Também não é verdade que, durante os governos petistas, foi feita a maior quantidade de demarcação de terras indígenas, porque as gestões de Fernando Collor e Fernando Henrique Cardoso homologaram mais territórios.;;;;;;;Falso
Bolsonaro não foi ‘expulso’ do Maracanã sob vaias em jogo do Flamengo no dia 7 de setembro;https://www.aosfatos.org/noticias/bolsonaro-nao-foi-expulso-do-maracana-sob-vaias/;Aos Fatos;2022-09-12;;Não é verdade que o presidente e candidato à reeleição, Jair Bolsonaro (PL), foi expulso do Maracanã após ser vaiado durante a partida entre Flamengo e Vélez Sarsfield, da Argentina, como é dito em um vídeo que circula nas redes (veja aqui). A gravação mostra o momento em que Bolsonaro vai até a parte da tribuna de honra em que pode ser visto pelo público, que o recebe com um misto de vaias e aplausos. Ele não deixou o estádio após esse momento.;;;;;;;Falso
Na TV, presidenciáveis desinformam sobre gás de cozinha, Bolsa Família e refinarias;https://www.aosfatos.org/noticias/na-tv-presidenciaveis-desinformam-sobre-gas-de-cozinha-bolsa-familia-refinarias/;Aos Fatos;2022-09-09;;"De programas sociais a combustíveis, as campanhas presidenciais têm aproveitado o horário eleitoral na TV para distorcer informações. O programa de Luiz Inácio Lula da Silva (PT) cita preços de gás e diesel sem correção da inflação; o de Jair Bolsonaro (PL) engana ao dizer que quem tinha emprego não recebia Bolsa Família. Ciro Gomes (PDT) erra a capacidade ociosa de refinarias; e Simone Tebet (MDB) exagera seu papel na criação da Casa da Mulher Brasileira em Campo Grande (MS).";;;;;;;Falso
É falso que batalhão cantou música contra o PT em desfile do Sete de Setembro;https://www.aosfatos.org/noticias/exercito-musica-contra-pt-sete-de-setembro/;Aos Fatos;2022-09-09;;É falso que militares cantaram uma música que diz que petistas são vagabundos durante o desfile de Sete de Setembro em Brasília, como afirmam postagens nas redes sociais (veja aqui). O áudio de uma gravação que circula nas redes sociais desde 2021 foi inserido nas cenas originais, registradas pelo público, que mostram a marcha de soldados de um batalhão de infantaria do Exército. No registro do desfile feito pelaTV Brasilé possível verificar que os militares não cantam durante a marcha.;;;;;;;Falso
